party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,6,0,1,168,168
1,5,0,1,120,288
2,6,0,1,168,456
3,3,0,1,69,525
4,3,0,1,69,594
5,4,0,1,88,682
6,4,0,1,88,770
7,2,0,,0,770
8,2,0,,0,770
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,7,1,1,203,849
4,6,1,1,168,1017
5,4,1,1,88,1105
6,3,1,,0,1105
7,3,1,,0,1105
8,4,1,,0,1105
9,4,1,,0,1105
10,2,1,,0,1105
11,2,1,,0,1105
0,8,2,1,240,240
1,7,2,1,203,443
2,8,2,1,240,683
3,8,2,1,240,923
4,8,2,1,240,1163
5,6,2,,0,1163
6,6,2,,0,1163
7,4,2,,0,1163
8,3,2,,0,1163
9,3,2,,0,1163
10,3,2,,0,1163
11,4,2,,0,1163
12,4,2,,0,1163
13,2,2,1,52,1215
0,8,3,1,240,240
1,6,3,1,168,408
2,6,3,1,168,576
3,6,3,1,168,744
4,6,3,1,168,912
5,5,3,1,120,1032
6,3,3,,0,1032
7,3,3,,0,1032
8,3,3,,0,1032
9,4,3,,0,1032
10,3,3,,0,1032
11,3,3,,0,1032
12,2,3,,0,1032
13,2,3,,0,1032
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,8,4,1,240,886
4,8,4,1,240,1126
5,8,4,,0,1126
6,8,4,,0,1126
7,6,4,,0,1126
8,5,4,,0,1126
9,3,4,,0,1126
10,4,4,,0,1126
11,3,4,,0,1126
12,4,4,,0,1126
13,4,4,,0,1126
14,2,4,1,52,1178
0,8,5,1,240,240
1,8,5,1,240,480
2,7,5,1,203,683
3,7,5,1,203,886
4,7,5,1,203,1089
5,8,5,,0,1089
6,6,5,,0,1089
7,6,5,,0,1089
8,5,5,,0,1089
9,3,5,,0,1089
10,3,5,,0,1089
11,3,5,,0,1089
12,3,5,,0,1089
13,2,5,1,52,1141
14,2,5,,0,1141
0,7,6,1,203,203
1,7,6,1,203,406
2,8,6,1,240,646
3,5,6,1,120,766
4,6,6,1,168,934
5,6,6,1,168,1102
6,6,6,,0,1102
7,3,6,,0,1102
8,4,6,,0,1102
9,2,6,,0,1102
10,2,6,,0,1102
