party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,6,0,1,168,648
3,3,0,1,69,717
4,4,0,1,104,821
5,2,0,1,52,873
6,2,0,1,52,925
7,2,0,,0,925
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,8,1,1,240,886
4,8,1,1,240,1126
5,5,1,,0,1126
6,6,1,,0,1126
7,4,1,,0,1126
8,3,1,,0,1126
9,2,1,1,52,1178
10,2,1,,0,1178
11,2,1,,0,1178
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,7,2,1,203,886
4,6,2,1,168,1054
5,6,2,,0,1054
6,6,2,,0,1054
7,6,2,,0,1054
8,3,2,1,69,1123
9,3,2,,0,1123
10,4,2,,0,1123
11,3,2,,0,1123
12,3,2,,0,1123
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,8,3,1,240,923
4,7,3,1,203,1126
5,8,3,,0,1126
6,8,3,,0,1126
7,6,3,,0,1126
8,6,3,,0,1126
9,6,3,,0,1126
10,4,3,,0,1126
11,3,3,,0,1126
12,4,3,,0,1126
13,2,3,1,52,1178
14,2,3,,0,1178
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,5,4,1,120,766
4,6,4,1,168,934
5,5,4,1,120,1054
6,6,4,,0,1054
7,6,4,,0,1054
8,5,4,,0,1054
9,6,4,,0,1054
10,6,4,,0,1054
11,6,4,,0,1054
12,6,4,,0,1054
13,3,4,,0,1054
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,8,5,1,240,960
4,8,5,1,240,1200
5,5,5,,0,1200
6,6,5,,0,1200
7,6,5,,0,1200
8,3,5,,0,1200
9,4,5,,0,1200
10,4,5,,0,1200
11,3,5,,0,1200
12,2,5,1,52,1252
13,2,5,,0,1252
0,8,6,1,240,240
1,6,6,1,168,408
2,6,6,1,168,576
3,6,6,1,168,744
4,5,6,1,120,864
5,3,6,1,69,933
6,3,6,,0,933
7,3,6,,0,933
8,2,6,1,52,985
9,2,6,,0,985
