party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,8,0,1,240,720
3,7,0,1,203,923
4,3,0,1,69,992
5,4,0,1,88,1080
6,3,0,,0,1080
7,3,0,,0,1080
8,4,0,,0,1080
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,8,1,1,240,886
4,5,1,1,120,1006
5,6,1,,0,1006
6,5,1,,0,1006
7,3,1,1,69,1075
8,4,1,,0,1075
9,3,1,,0,1075
10,3,1,,0,1075
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,7,2,1,203,812
4,7,2,1,203,1015
5,8,2,,0,1015
6,7,2,,0,1015
7,6,2,,0,1015
8,5,2,,0,1015
9,6,2,,0,1015
10,3,2,,0,1015
11,4,2,,0,1015
12,3,2,,0,1015
13,3,2,,0,1015
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,6,3,1,168,851
4,5,3,1,120,971
5,5,3,1,120,1091
6,5,3,,0,1091
7,5,3,,0,1091
8,6,3,,0,1091
9,3,3,,0,1091
10,3,3,,0,1091
11,4,3,,0,1091
12,4,3,,0,1091
13,2,3,,0,1091
0,8,4,1,240,240
1,8,4,1,240,480
2,6,4,1,168,648
3,6,4,1,168,816
4,6,4,1,168,984
5,5,4,1,120,1104
6,6,4,,0,1104
7,3,4,,0,1104
8,3,4,,0,1104
9,3,4,,0,1104
10,3,4,,0,1104
11,4,4,,0,1104
12,3,4,,0,1104
13,2,4,,0,1104
14,2,4,,0,1104
0,8,5,1,240,240
1,7,5,1,203,443
2,7,5,1,203,646
3,7,5,1,203,849
4,8,5,1,240,1089
5,7,5,,0,1089
6,5,5,,0,1089
7,6,5,,0,1089
8,5,5,,0,1089
9,6,5,,0,1089
10,3,5,,0,1089
11,3,5,,0,1089
12,4,5,,0,1089
13,4,5,,0,1089
14,2,5,1,52,1141
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,7,6,1,203,886
4,7,6,1,203,1089
5,5,6,,0,1089
6,5,6,,0,1089
7,4,6,,0,1089
8,3,6,,0,1089
9,4,6,,0,1089
10,2,6,1,52,1141
