party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,7,0,1,203,646
3,8,0,1,240,886
4,5,0,1,120,1006
5,2,0,1,52,1058
6,2,0,,0,1058
7,2,0,,0,1058
0,8,1,1,240,240
1,8,1,1,240,480
2,7,1,1,203,683
3,6,1,1,168,851
4,4,1,1,104,955
5,3,1,1,69,1024
6,4,1,,0,1024
7,3,1,,0,1024
8,3,1,,0,1024
9,2,1,,0,1024
10,2,1,,0,1024
0,7,2,1,203,203
1,8,2,1,240,443
2,7,2,1,203,646
3,8,2,1,240,886
4,6,2,1,168,1054
5,6,2,,0,1054
6,6,2,,0,1054
7,6,2,,0,1054
8,4,2,1,104,1158
9,3,2,,0,1158
10,3,2,,0,1158
11,2,2,,0,1158
12,2,2,,0,1158
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,8,3,1,240,886
4,7,3,1,203,1089
5,8,3,,0,1089
6,7,3,,0,1089
7,7,3,,0,1089
8,5,3,,0,1089
9,5,3,,0,1089
10,5,3,,0,1089
11,5,3,,0,1089
12,3,3,,0,1089
13,3,3,,0,1089
14,2,3,1,52,1141
15,2,3,,0,1141
0,8,4,1,240,240
1,7,4,1,203,443
2,8,4,1,240,683
3,8,4,1,240,923
4,7,4,1,203,1126
5,5,4,,0,1126
6,6,4,,0,1126
7,5,4,,0,1126
8,4,4,,0,1126
9,4,4,,0,1126
10,4,4,,0,1126
11,4,4,,0,1126
12,2,4,1,52,1178
13,2,4,,0,1178
0,8,5,1,240,240
1,8,5,1,240,480
2,5,5,1,120,600
3,5,5,1,120,720
4,6,5,1,168,888
5,5,5,1,120,1008
6,5,5,,0,1008
7,5,5,,0,1008
8,5,5,,0,1008
9,4,5,,0,1008
10,4,5,,0,1008
11,3,5,,0,1008
12,4,5,,0,1008
13,2,5,,0,1008
14,2,5,,0,1008
0,8,6,1,240,240
1,5,6,1,120,360
2,6,6,1,168,528
3,5,6,1,120,648
4,6,6,1,168,816
5,5,6,1,120,936
6,5,6,,0,936
7,4,6,,0,936
8,4,6,,0,936
9,2,6,,0,936
10,2,6,,0,936
